Comment,Object,Label,Predicted_Objects
hâm mộ mmanchester city nhưng mê garnacho,['manchester city' ' garnacho '],0.0,['mmanche']
hay hợp,[],0.0,[]
chỉnh sửa hay,[],1.0,[]
đẳng cấp,[],1.0,[]
21k mua được gì,[],0.0,[]
ngầu ác,[],1.0,[]
bình an đăng lại nè,[],0.0,[]
quá rủi cristiano ronaldo để đăng lại,[],0.0,[]
21h,[],0.0,[]
100m hôm qua ngồi xem cả trận,[],0.0,[]
froden,['folden'],1.0,[]
anh em pháo thủ tập hợp,[],0.0,[]
cuốn,[],0.0,[]
paul pogba của em đâu,['paul pogba'],1.0,['paul' 'pogba']
atonyy,['antony'],1.0,[]
garnacho cứ bảnh vãi luôn ấy,['garnacho'],1.0,['garnacho']
chỉnh sửa hay vậy bạn ơi cháy thế,[],1.0,[]
muốn được làm youtube tôi không ai coi,[],0.0,[]
đội hâm mộ mình,[],0.0,[]
tối nay,[],0.0,[]
một từ thôi đỉnh,[],1.0,[]
mong việt nam ủng hộ,[],0.0,['việt' 'nam']
cháy,[],1.0,[]
long bào,[],0.0,[]
quỷ garnacho,['garnacho'],1.0,[]
best chỉnh sửa ever,[],1.0,[]
chỉnh sửa hay quá,[],1.0,[]
mất ảnh bảnh quá trời rồii,[],1.0,[]
chỉnh sửa đẹp nhạc hay nhưng mà không đăng lại được,[],0.0,[]
quân tay left,[],0.0,[]
great job bạn,[],1.0,[]
ổ điểm,[],0.0,[]
lên ngôi rồi mất bạn ơi,[],1.0,[]
mượt mà đẹp ác,[],1.0,[]
garnacho đẹp ác,['garnacho'],1.0,['garnacho']
hay quá đẹp video chất lượng,[],1.0,[]
nét,[],1.0,[]
mê kobbie mainoo cũm đẹp mà bây,['kobbie mainoo'],1.0,[]
antony,['antony'],1.0,['tony']
tôi đăng lại vì crush,[],0.0,[]
siuu,[],0.0,[]
ai timm giúp tôi với,[],0.0,[]
garnacho bảnh,['garnacho'],1.0,['garnacho']
chỉnh sửa đỉnh,[],1.0,[]
cơ chế chuyển hóa tâm thức,[],0.0,[]
xịn,[],1.0,[]
antony bảnh,['antony'],1.0,[]
yêu,[],0.0,[]
hâm mộ manchester city nhưng thích garnacho vãii,['manchester city' ' garnacho'],1.0,['manchester' 'city']
mê garnacho quá,['garnacho'],1.0,[]
garnacho vẫn bảnh như ngày đầu,['garnacho'],1.0,['garnacho']
wiss,['yoane wissa'],1.0,[]
"garnacho,fernades raphael varane,marcus rashford",['garnacho' ' bruno fernandes' ' raphael varance' ' marcus rashford'],1.0,[]
manchester united,['manchester united'],1.0,['manchester' 'united']
chiến,[],1.0,[]
bình an đăng lại kìa,[],0.0,[]
garnacho vệ sinh maino,['garnacho' ' kobbie mainoo'],1.0,[]
mê garnacho nhưng tiếc là em hâm mộ manchester city,['garnacho' ' manchester united'],1.0,['manchester' 'city']
garnacho đẹp trai thế,['garnacho'],1.0,['garnacho']
"nhìn garnacho kìa,bảnh",['garnacho'],1.0,[]
hay quáđẹp quá,[],1.0,[]
đẹp trai,[],1.0,[]
garnacho đẹp trai vảii,['garnacho'],1.0,['garnacho']
manchester united kìa,['manchester united'],1.0,['manchester' 'united']
mang ngay manchester city tới đây,['manchester city'],0.0,['manchester' 'city']
tim hộ video mới với cho đỡ không lên xu hướng,[],0.0,[]
bình an đăng lại kìa,[],0.0,[]
chỉnh sửa hay quá,[],1.0,[]
hay,[],1.0,[]
the world needs more of this goodness,[],0.0,[]
bảnh quá ganarcho,['garnacho'],1.0,[]
nhạc hay,[],1.0,[]
bảnh quá,[],1.0,[]
raphael varane hậu đạo,['raphael varane'],0.0,[]
chất thật nhưng mà không dám đăng lại,[],0.0,[]
cháy,[],1.0,[]
quá đỉnh bạn ơi,[],1.0,[]
tự nhiên giờ được đăng story rồi,[],0.0,[]
bạn chỉnh sửa bằng gì thế,[],0.0,[]
em xin video voi ạ,[],0.0,[]
antony yeah,['antony'],1.0,[]
điểm luôn,[],0.0,[]
hên có doku ăn 1 chứ erling haaland đá cột nhìn chán,['jeremy doku' ' erling haaland'],2.0,[]
mang manchester city đến dể ăn lồn à,['manchester city'],2.0,['manchester' 'city']
granacho,['garnacho'],1.0,[]
manchester city lấy lại ngai vàng,['manchester city'],0.0,['manchester' 'city']
văn toàn david de gea,[],0.0,[]
manchester united 223,['manchester united'],1.0,['manchester' 'united' '223']
thích nhất anh harry maguire,['harry maguire'],1.0,['maguire']
ngầu ác,[],1.0,[]
maino có một tương lai sáng rạn á phong độ rất tốt,['kobbie mainoo'],1.0,['maino']
bruno fernandes,['bruno fernandes'],1.0,[]
bảnh,[],1.0,[]
ngầu,[],1.0,[]
trận chung kết fa thấy wanbisaka hay,['aaron wan-bisaka'],1.0,[]
đã thiệt á chứ,[],1.0,[]
garnacho,['garnacho'],1.0,['garnacho']
đỉnh,[],1.0,[]
chuẩn hey bạn,[],0.0,[]
khi nào mới quay lại cúp C1,[],0.0,[]
gọi manchester united là gì vậy nhỉ,['manchester united'],0.0,['chester']
đỉnh vậy,[],1.0,[]
chỉnh sửa cháy phết,[],1.0,[]
andre onana,['andre onana'],1.0,[]
manchester united giờ chỉ còn raphael varane marcus rashford đá hay,['manchester united' ' raphael varane' ' marcus rashford'],0.0,['manchester' 'united']
hâm mộ quỷ làm gì,[],0.0,[]
bình an đăng lại,[],0.0,[]
chỉnh sửa giỏi vậy bạn,[],1.0,[]
tao thích paul pogba hồi xưa cơ,['pogba'],0.0,['pogba']
sigma olomouc,['sigma olomouc'],1.0,[]
chỉnh sửa hay,[],1.0,[]
garnacho bảnh ác,['garnacho'],1.0,['garnacho']
hâm mộ manchester city mê garnacho,['manchester city' ' garnacho '],1.0,['manchester' 'garnacho']
được vì garnacho nên đăng lại,['garnacho'],1.0,[]
hâm mộ manchester city thấy mất anh này bảnh,['manchester city'],1.0,['manchester' 'city']
garnacho quá ngầu,['garnacho'],1.0,['garnacho']
aa garnacho,['garnacho'],1.0,[]
garnacho bảnh chán,['garnacho'],1.0,['garnacho']
chỉnh sửa xịn vãi,[],1.0,[]
garnacho bảnh trai vãi ạ,['garnacho'],1.0,['garnacho']
mới đăng lại,[],0.0,[]
hâm mộ manchester city nhưng vẫn mê garnacho,['manchester city' ' garnacho '],1.0,['manchester' 'city']
editor hay nhất việt nam đây rồi,[],1.0,['việt' 'nam']
garnacho bảnh nhất đội,['garnacho'],1.0,['garnacho']
hâm mộ manchester city nhưng thích garnacho,['manchester city' ' garnacho '],1.0,['manchester' 'city']
garnacho đỉnh qaa,['garnacho'],1.0,[]
kiểu bị mê garnacho,['garnacho'],1.0,[]
hâm mộ manchester united cho 1 follow anh,['manchester united'],0.0,['manchester' 'united']
cj bình an đăng lại kìa,[],0.0,[]
sáng tối đê,[],0.0,[]
bảnh,[],1.0,[]
xem mà rạo rực,[],1.0,[]
quá tuyệt,[],1.0,[]
nay chả thấy manchester city đá,['manchester city'],0.0,['manchester' 'city']
thích manchester city nhưng mê ganarcho,['manchester city' ' garnacho '],1.0,['manchester' 'city']
mbappe garnacho,['kylian mbappe' ' garnacho '],1.0,[]
nam thần điện giật,[],0.0,[]
harley chỉnh sửa cuốn vãi,[],1.0,['harley']
glinh nhìn cũng đẹp trai,[],1.0,[]
văn thuận03 cháy,['văn thuận'],1.0,['văn' 'thuận']
há cảo mê trai không bóng,[],0.0,[]
tôi là hmy chứ ai hcuongg ngầu thật,[],0.0,[]
kiểu đội manchester city văn toàn trai đẹp,['manchester city'],1.0,['manchester' 'city']
18th4 bảnh phết,[],1.0,[]
thiích đội này,[],1.0,[]
kevin de bruyne,['kevin de bruyne'],1.0,[]
baornhi garnacho bảnh ác,['garnacho'],1.0,[]
garnacho,['garnacho'],1.0,['garnacho']
chuột mickey mini garnacho,['garnacho'],1.0,[]
bò phê cỏ chỉnh sửa đẹp,[],1.0,[]
garnacho bảnh vãi,['garnacho'],1.0,['garnacho']
manchester united,['manchester united'],1.0,['manchester' 'united']
manchester city,['manchester city'],1.0,['manchester' 'city']
bảnh vậy,[],1.0,[]
bảnh,[],1.0,[]
đẹp trai,[],1.0,[]
đây là đội bóng mạnh nhất,[],1.0,[]
ngầu,[],1.0,[]
garnacho bảnh ác,['garnacho'],1.0,['garnacho']
bố biết bó lùn rồi mày khoải,[],2.0,[]
hollund gọi là gì,['rasmus hojlund'],0.0,[]
trai đẹp trầm tính,[],1.0,[]
hngann07 andre onana đẹp trai,['andre onana'],1.0,[]
ai hâm mộ manchester united tôi follow hết,['manchester united'],0.0,['manchester' 'united']
rangrang chỉnh sửa ngầu nên mình đăng lại nha hâm mộ manchester city,['manchester united'],1.0,['manchester' 'city']
tôi garnacho kìa,['garnacho'],1.0,[]
được bình an đăng lại,[],0.0,[]
mục chính tao xem clip này là,[],0.0,[]
cũng tập chỉnh sửa mà không ai xem,[],0.0,[]
không liên quan nhưng ai hâm mộ real madrid tôi follow hết,['real madrid'],0.0,['real' 'madrid']
mọi thứ đều ổn trừ anh long,[],2.0,['long']
glory manchester united as the reds go marching on,[],0.0,[]
bình an đăng lại làm gì vậy mọi người,[],0.0,[]
bình an đăng lại,[],0.0,[]
manchester city,['manchester city'],1.0,['manchester' 'city']
xin ví dụ về đăng tin nhá,[],0.0,[]
garnachoo,['garnacho'],1.0,[]
glory manchester united,['manchester united'],1.0,[]
manchester united mãi đỉnh kk,['manchester united'],1.0,['manchester' 'united']
"glory manchester united, as the reds go marching on",['manchester united'],1.0,[]
quao,[],1.0,[]
garnocho,['garnacho'],1.0,['nocho']
manchester united phải để thời rooney với cristiano ronaldo ấy,['manchester united' ' wayne rooney' ' cristiano ronaldo '],0.0,['manchester' 'united' 'rooney' 'cr']
mmanchester city cười nhẹ,['manchester city'],1.0,['mmanchester']
bình an hâm mộ manchester united nên đằn lại kìa anh em,['manchester united'],0.0,['manchester' 'united']
manchester city tuổi gì với anh,['manchester city'],2.0,['manchester' 'city']
manchester united,['manchester united'],1.0,['manchester' 'united']
manchester united dở hane321,['manchester united'],2.0,['manchester' 'united']
bảo ân marcus rashford,['marcus rashford'],1.0,[]
văn toàn mất ông cu to,[],2.0,['văn' 'toàn']
tối nay manchester united vệ sinh city,['manchester united' ' manchester city '],0.0,['manchester' 'united']
những chú quỷ đỏ liệu có giành lại được hào quang của chính mình,['manchester united '],0.0,[]
mang ngay mmanchester city tới đây,['manchester city'],1.0,['mmanchester' 'city']
mang ngay manchester city tới đâyy,['manchester city'],1.0,['manchester' 'city']
như kiểu bài này là giành riêng cho manchester united ấy,[],1.0,['manchester' 'united']
garnacho có tuỵêt vời không,['garnacho'],0.0,[]
các cháu thua xa david beckham,['david beckham'],1.0,['david' 'beckham']
máu quỷ là bất diệt,['manchester united'],1.0,[]
xuống hang nhường đường cho real madrid là vừa,['Real madrid'],2.0,['real' 'madrid']
hú hét như kiểu đám thổ nhĩ kỳ phỉ,[],2.0,[]
đàn ông ga lăng bà nacho,['garnacho'],1.0,[]
bình an đăng lại luôn là biết hâm mộ manchester united rồi đấy,['manchester united'],0.0,['manchester' 'united']
bình an đăng lại kìa,[],0.0,[]
quá khét,[],1.0,[]
ai top 8 nhỉ,[],0.0,[]
8 năm 1 lần,[],0.0,[]
tao hâm mộ manchester city,['manchester city'],1.0,['manchester' 'city']
manchester united đại diện cho được không ạ,['manchester united'],0.0,['manchester' 'united']
mãi một tình yêu với manchester united và người cũ,['manchester united'],1.0,['manchester' 'united']
nếu ở đây như này thì manchester city đâu nhỉ,['manchester city'],0.0,['manchester' 'city']
trong hang,[],0.0,[]
mackenzie bordor collie,[],0.0,[]
nhạc manchester united sinh ra cho,[],0.0,['manchester' 'united']
đừng ném tao vào trong hang gọi chỗ đấy là ổ,['manchester united'],0.0,[]
manchester united mãi đỉnh,['manchester united'],1.0,['manchester' 'united']
hâm mộ manchester city nhưng mà mê garnacho,['manchester city' ' garnacho '],1.0,['manchester' 'city']
làm về manchester city đi,['manchester city'],1.0,['manchester' 'city']
manchester united đỏ,['manchester united'],1.0,[]
tự nhiên muốn vào manchester united bắt quỷ ghê á,['manchester united'],0.0,['manchester' 'united']
𝐺𝑎𝑟𝑛𝑎𝑐ℎ𝑜 𝑏𝑎𝑛ℎ 𝑐ℎ𝑎𝑛,['garnacho'],1.0,['𝐺𝑎𝑟𝑛𝑎𝑐ℎ𝑜' '𝑏𝑎𝑛ℎ' '𝑐ℎ𝑎𝑛']
longhack127 lth_2012 leeangduc nó phải như này,[],1.0,[]
thua nhà vua,[],2.0,[]
quỷ đỏ bất diệt,['manchester united'],1.0,[]
anh em manchester united đâu,['manchester united'],1.0,['chester']
manchester united ra hang rồi tội mất anh city,['manchester united' ' manchester city '],0.0,['manchester' 'united']
gọi manchester united là,['manchester united'],1.0,[]
cái này manchester united đỏ đúng hơn,[],1.0,[]
quỷ đỏ mãi đỉnh,['manchester united'],1.0,[]
garnacho oi em yêu anh,['garnacho'],1.0,[]
rùa tai đỏ đâu rồi,[],0.0,[]
qủy đỏ muốn quay lại như xưa thì phải loại bỏ thẳng tay những cầu thủ có phong độ không tốt và khác kỷ luật hơn,['manchester united'],1.0,[]
manchester united 写真,['manchester united'],1.0,['manchester' 'united' '写' '真']
anh em manchester united đâu rồi,['manchester united'],1.0,['manchester' 'united']
anh em manchester united đâu nhỉ,['manchester united'],1.0,['manchester' 'united']
đàn ông ga lăng bà garnacho,['garnacho'],1.0,[]
hâm mộ manchester united sadganacho đẹp trai thế kaka,['manchester united' ' garnacho' ' kaka'],1.0,['manchester' 'uniteddganacho']
manchester united đỏ,['manchester united'],1.0,[]
tôi hâm mộ manchester city,['manchester city'],1.0,['manchester' 'city']
garnacho trông tợn đéo chịu,['garnacho'],1.0,['garnacho']
chỉnh sửa chất phết mặc dù tôi man xanh,[],0.0,[]
ôhaha,[],0.0,[]
thành man 1 màu nhé,[],1.0,[]
rồi manchester united còn thiếu ai nữa không anh em,['manchester united'],0.0,['manchester' 'united']
manchester united đỏ,['manchester united'],1.0,[]
manchester united năm sau được đá cúp C1 không,['manchester united'],0.0,['manchester' 'united']
đệ cristiano ronaldo,['cristiano ronaldo'],0.0,[]
vợ manchester city nhưng thích united,['manchester city' ' manchester united'],1.0,['manchester' 'city' 'united']
mất ôg hâm mộ manchester united văn toàn dân chỉnh sửa,['manchester united'],0.0,['manchester' 'united']
trend mặc áo giẻ lau à,[],0.0,[]
"tôi hâm mộ real madrid nhưng thích de gea, cristiano ronaldo, garnacho, lisandro martinez, antony, bruno fernandes,marcus rashford, vârane,","['real madrid' ' david de gea' ' cristino ronaldo' ' garnacho'
 ' lisandro martinez' ' antony' ' bruno fernandes' ' marcus rashford'
 ' raphael varane']",1.0,['real' 'madrid' 'garnacho' 'lisandro' 'martine']
anh em manchester city đâu,['manchester city'],1.0,['manchester' 'city']
garnacho đẹp trai,['garnacho'],1.0,['garnacho']
chui ra khỏi hang,[],0.0,[]
thấy video hay nhưng mình hâm mộ liverpool,['manchester united'],0.0,['liverpool']
vừa mê manchester united vưa cả city,['manchester city' ' manchester united'],1.0,['manchester' 'united']
manchester united,['manchester united'],1.0,['manchester' 'united']
reece james rodriguez phải top 1 mới đúng,['james rodriguez'],1.0,[]
thua pha ghi bàn bằng sợ tóc hết,[],1.0,[]
"reece james rodriguez không ghi bàn thì thôi, mà đã là siêu phẩm",['james rodriguez'],1.0,[]
"2014 3 siêu phẩm cú đá phạt của david de gea luiz, người hà lan bay van persie, và pha trong video reece james rodríguez",['james rodriguez' ' david luiz' ' robin van persin '],1.0,['người' 'hà' 'lan']
có siêu phẩm của cristiano ronaldo ở không world cup,['cristiano ronaldo'],0.0,[]
tại sao không có ông diego maradona trong game việt nam,['diego maradona'],0.0,['diego' 'maradona' 'việt' 'nam']
tôi chỉ ấn tượng nhất hà lan bay vanbersi năm 2014 hàng độc,['robin van persin'],1.0,['hà' 'lanber']
không có quả sút phạt bồ đào nha vệ sinh tây ban world cup 18 à,['bồ đào nha' ' tây ban nha'],0.0,['bồ' 'đào' 'nha' 'tây' 'ban']
không có siêu phẩm xá lợi tóc của noat à,[],1.0,[]
chưa có xá lợi tóc kìa,[],1.0,[]
bàn volley của forlan vào lưới hà lan năm 2010 à,['diego forlan'],0.0,['forlan' 'hà' 'lan']
chalison,['richarlison'],1.0,['lison']
ricardo quaresma,['ricardo quaresma'],1.0,[]
"nacho 2018 không được vào top10 world cup , tiếc thật",['nacho'],0.0,['cho']
xin nhạc ạ mê hơn bóng rồi,[],0.0,[]
theo các bạn trái của ronalninho chú ý sút hay chỉ là trượt chân chuyền vào gôn,['ronaldinho'],0.0,['ronalninho']
bàn của nacho 2018 cũng đẹp,['nacho'],1.0,[]
tim calhill nhớ 2006 mà,['tim calhill'],0.0,[]
bàn dimaria nâng tỉ số lên 20 gặp pháp nó mới là siêu phẩm của,['dimaria'],1.0,[]
siêu phẩm 1 chạm của argentina vào lưới pháp năm 2022,['argentina' ' pháp'],1.0,['pháp']
thích pha của robben vào lưới tây ban nha,['robben'],1.0,['tây' 'ban' 'nha']
top1 chắc là pha đá phạt của caslot,['carlos'],1.0,[]
bàn của jame đẳng cấp thật sự,['james rodriguez'],1.0,['jame']
không có siêu phẩm của cristiano ronaldo à,['cristiano ronaldo'],0.0,[]
trẻ dở không có bàn thắng bằng tóc của cristiano ronaldo à hè sắp tới cái nó vậy,['cristiano ronaldo'],2.0,['cristiano' 'ronaldo']
"tay bình luận viên nó đọc tên của reece james là gì cơ anh em, bọn này bị tây nhập à",['james rodriguez'],2.0,[]
ronanldinho ghi bàn xong ăn luôn cái thẻ đỏ,['ronaldinho'],0.0,['ronanldinho']
arda guler có mất quả sút đẹp vãi,['arda guler'],1.0,['arda' 'guler']
khi tsubasa sút trúng xà ngang,[],0.0,[]
tsubasa sút xà ngang,[],0.0,['tsubasa']
ảnh 2 là thật à,[],0.0,[]
anh sút một lần 3 quả,[],0.0,[]
ảnh cuối là thật à,[],0.0,[]
ông arda guler đẹp trai vậy,['arda guler'],1.0,['arda' 'guler']
tsubasa sút trúng xà ngang và xoáy vô khung thành,[],0.0,['tsubasa']
cột dọc người ta kêu xà ngang,[],0.0,[]
arda guler đẹp zai vậy,['arda guler'],1.0,[]
vợ anh ấy rất buồn,[],0.0,[]
sút trúng xà ngang thì làm sao vậy việt nam,[],0.0,['việt' 'nam']
khi kaka sút sà ngang,['kaka'],0.0,['kaka']
roberto carlos sút trúng xà ngang,['roberto carlos'],0.0,[]
tên cầu thủ là gì vậy,[],0.0,[]
kent1204 nhớ phóng to lên xem nha,[],0.0,[]
coi khúc cuối đi mày,[],0.0,[]
bnhieen thốn,[],0.0,[]
sút xà ngang sai súng trúng,[],0.0,[]
eser xem đến cuối,[],0.0,[]
trùm cuối không làm ta thất vọng,[],1.0,[]
tháng 6 mày phải koi tới khúc cuối nhen,[],1.0,[]
này cột dọc mà,[],0.0,[]
tên nhạc là gì,[],0.0,[]
chồngcuaaikiaa thằng cuối hôm trước tôi nói á,[],0.0,[]
cảm giác ấy,[],0.0,[]
đau 1 ngại 99,[],0.0,[]
huỳnh ly tới cuối,[],0.0,[]
hoài ổn,[],0.0,[]
gái xing bùn ngủ xem hết nho,[],0.0,[]
nk đau phết,[],0.0,[]
đu,[],0.0,[]
xin tên anh cầu thủ gần cuối với,[],0.0,[]
xút trúng xà ngang,[],0.0,[]
lvbong pha cuối,[],0.0,[]
không biết nên cười hay buồn đây,[],0.0,[]
ai cho xin bài này với quên tên rồi,[],0.0,[]
coi tới cuối đi,[],0.0,[]
giá trị bằng các cơ hội,[],0.0,[]
đánh đầu trúng cột dọc,[],0.0,[]
conan khi sút trúng xà ngang,[],0.0,[]
"wow, tốt lắm",[],1.0,[]
sút 1 bóng vào gôn 2 cột,[],0.0,[]
xin in4 nhạc khúc nói tiếng anh,[],0.0,['tiếng' 'anh']
ăn mừng trong đau khổ,[],0.0,[]
ông số 15 của re an giống kiên chổi quá,['real madrid'],0.0,[]
khi ramsey sút sà ngang,['ramsey'],0.0,[]
đau,[],0.0,[]
để thế không ngại hả,[],0.0,[]
ông cuối nhìn mà xót,[],0.0,[]
sút tận 3 quả luôn,[],0.0,[]
súng trúng cột dọc,[],0.0,[]
khi garnacho sút trúng xà ngang vội lại là trỗng ngược,['ggarnacho'],0.0,[]
ngộ bon 4471 khúc cuối sút lần 3 trái,[],0.0,[]
cái cuối thật à,[],0.0,[]
quả nhiên tôi đoán đúng trong mất ví dụ bóng đá như này không có,[],0.0,[]
cột dọc mà,[],0.0,[]
xà ngang chứ cột dọc đâu,[],0.0,[]
nhìn mà cũng thấy thốn,[],0.0,[]
amy trời đất,[],0.0,[]
lee minh phong khúc cuối,[],0.0,[]
ôg cuối nên giấu chuyện này nbh,[],0.0,[]
kẻ phản diện faifai thốn,[],0.0,[]
khả năng nổ rồi các cháu ơii,[],0.0,[]
"đá trúng một quả tôi vui , lúc ba ui đau vãi ò",[],0.0,[]
trận việt nam còn nghe thấy tiếng keng,[],0.0,['việt' 'nam']
ảnh cuối có thật không anh em,[],0.0,[]
08th10 coi cuối video,[],0.0,[]
anh long chuyền hơi sâu nên ông kìa đỡ cả bóng và cột luôn,[],0.0,[]
khi nunez sút trúng cột dọc chỉ là anh muốn đua kiến tạo với kevin de bruyne,['de bruyne' ' darwin nunez'],0.0,['nunez']
thốn,[],0.0,[]
ngaann thuu mtr coi hết nhee,[],0.0,[]
vào 1 đi 2,[],0.0,[]
đấy là xà ngang à,[],0.0,[]
quãi,[],0.0,[]
việt hýy 陳朝 cuối ví dụ,[],0.0,['việt' 'h']
bình béo real madrid,[],0.0,['bình' 'béo' 'real' 'madrid']
ông cuối sút 1 quả nhưng 3 đau,[],0.0,[]
đăng khoa trùm cuối,[],0.0,[]
đớn,[],0.0,[]
nó bột ròi vẽ lên luôn chỗ đó,[],0.0,[]
đá banh bằng cả tính mạng,[],0.0,[]
quang minh vỡ cả buồng,[],0.0,['quang' 'minh']
yeon mae thốn quá,[],0.0,[]
dại dấp,[],0.0,[]
áo bóng đá có indonesia không ạ em may đội,[],0.0,['indonesia']
nguyễn đạt thử đi,[],0.0,['nguyễn' 'đạt']
trùm cuôi,[],0.0,[]
ramsey sút trúng xà ngang,['ramsey'],0.0,[]
ngoctuann thật hả trời,[],0.0,['ngoctuan']
phuongvy3009 coi cuối clip,[],0.0,['phuongvy']
họ thì sút mình chơi,[],0.0,[]
minh28_28 thốn dùm,[],0.0,[]
zy xem tới cuối hay vai,[],0.0,[]
tamdoan biết vậy cất điện thoại ăn rồi,[],0.0,[]
tốt rồi,[],0.0,[]
game 1 mạng,[],0.0,[]
sút luôn 3 quả,[],0.0,[]
không liên quan nhưng arda guler đẹp trai thí,['arda guler'],1.0,['arda' 'guler']
coi kỹ cái ảnh cuối cùng,[],0.0,[]
coi mà thốn,[],0.0,[]
đá bằng cả sự nam tính,[],0.0,[]
thốn,[],0.0,[]
người cuối là tadic,['tadic'],0.0,[]
ê thấy sai nha sút trúng cột dọc mà,[],0.0,[]
ahth ảnh cuối,[],0.0,[]
ramsey sút trúng xà ngang cả thế giới vui mừng,['rramsey'],0.0,['ramsey']
khi vitinha sút trúng xà ngang,['vitinha'],0.0,[]
thốn,[],0.0,[]
xa trúng chìm,[],0.0,[]
mất ông đồng đội lại còn ký tên lên cục bột để chúc anh nhanh hồi phục nữa,[],0.0,[]
top 10 những thứ ảo nhất 1 độ bền và vật lý trong tsubasa,[],0.0,[]
nhân kiệt sad xem tới cuối,[],0.0,[]
hi sinh 2 bỉ đổi lấy 1 banh,[],0.0,[]
cho name nhạc đi,[],0.0,[]
cột dọc mà,[],0.0,[]
tất cả vì đam mê,[],0.0,[]
idol em,[],0.0,[]
một quả vô goal 2 xà,[],0.0,[]
đá ghê đấy,[],1.0,[]
khanhngoc dethuong coi tới cuối vđ đi mày ơi,[],0.0,['khanhngoc']
thiếu pha của vanveden,['vvalverde'],0.0,['vanveden']
khi supasa sút trúng xà ngang,[],0.0,[]
sút trúng cột dọc mà,[],0.0,[]
mê,[],0.0,[]
thần chết sút trúng xà,[],0.0,[]
quả cuôi là cột dọc cơ mà,[],0.0,[]
xin tên nhạc,[],0.0,[]
ghi bàn nhưng đổi lại là 3,[],0.0,[]
trcantrườg xem khúc đi,[],0.0,[]
cột dọc rồi,[],0.0,[]
cho xin nhạc đi admin,[],0.0,[]
chắc là không đau đâu,[],0.0,[]
admin cuốii,[],0.0,[]
lúc đầu là trái bóng chỉ yêu thương xà ngang thôi khúc cuối thì,[],0.0,[]
